Fecha,Departamento,Municipio,Día,Hora,Barrio,Zona,Clase de sitio,Arma empleada,Móvil Agresor,Móvil Victima,Edad,Sexo,Estado civil,País de nacimiento,Clase de empleado,Profesión,Escolaridad,Código DANE,Cantidad
"15/01/2017,""VALLE"",""CALI (CT)"",""Domingo"",""0:05:00"",""EDUARDO SANTOS E12"",""URBANA"",""VIAS PUBLICAS"",""ARMA DE FUEGO"",""PASAJERO MOTOCICLETA"",""A PIE"",19,""MASCULINO"",""SOLTERO"",""COLOMBIA"",""DESEMPLEADO"",""-"",""SECUNDARIA"",76001000,1"
"15/01/2017,""VALLE"",""CALI (CT)"",""Domingo"",""0:20:00"",""VALLADO E15"",""URBANA"",""VIAS PUBLICAS"",""ARMA BLANCA / CORTOPUNZANTE"",""A PIE"",""A PIE"",29,""MASCULINO"",""SOLTERO"",""COLOMBIA"",""EMPLEADO PARTICULAR"",""-"",""SECUNDARIA"",76001000,1"
"15/01/2017,""VALLE"",""CALI (CT)"",""Domingo"",""0:45:00"",""SUCRE E9"",""URBANA"",""VIAS PUBLICAS"",""ARMA BLANCA / CORTOPUNZANTE"",""A PIE"",""A PIE"",23,""MASCULINO"",""SOLTERO"",""COLOMBIA"",""DESEMPLEADO"",""-"",""SECUNDARIA"",76001000,1"
"15/01/2017,""VALLE"",""CALI (CT)"",""Domingo"",""16:52:00"",""DESEPAZ INVICALI E21"",""URBANA"",""VIAS PUBLICAS"",""ARMA DE FUEGO"",""A PIE"",""A PIE"",23,""MASCULINO"",""SOLTERO"",""COLOMBIA"",""EMPLEADO PARTICULAR"",""-"",""SECUNDARIA"",76001000,1"
"15/01/2017,""VALLE"",""CALI (CT)"",""Domingo"",""16:52:00"",""DESEPAZ INVICALI E21"",""URBANA"",""VIAS PUBLICAS"",""ARMA DE FUEGO"",""A PIE"",""A PIE"",24,""MASCULINO"",""UNION LIBRE"",""COLOMBIA"",""EMPLEADO PARTICULAR"",""-"",""SECUNDARIA"",76001000,1"
"15/01/2017,""VALLE"",""CALI (CT)"",""Domingo"",""22:11:00"",""BENJAMIN HERRERA E8"",""URBANA"",""VIAS PUBLICAS"",""ARMA DE FUEGO"",""A PIE"",""A PIE"",23,""MASCULINO"",""SOLTERO"",""COLOMBIA"",""EMPLEADO PARTICULAR"",""-"",""SECUNDARIA"",76001000,1"
"16/01/2017,""VALLE"",""CALI (CT)"",""Lunes"",""20:20:00"",""LOS ALCAZARES E6"",""URBANA"",""VIAS PUBLICAS"",""ARMA DE FUEGO"",""PASAJERO MOTOCICLETA"",""A PIE"",46,""MASCULINO"",""SOLTERO"",""COLOMBIA"",""EMPLEADO PARTICULAR"",""-"",""SECUNDARIA"",76001000,1"
"16/01/2017,""VALLE"",""CALI (CT)"",""Lunes"",""17:20:00"",""LOS ROBLES E13"",""URBANA"",""VIAS PUBLICAS"",""ARMA DE FUEGO"",""PASAJERO MOTOCICLETA"",""A PIE"",49,""MASCULINO"",""UNION LIBRE"",""COLOMBIA"",""INDEPENDIENTE"",""-"",""SECUNDARIA"",76001000,1"
"16/01/2017,""VALLE"",""CALI (CT)"",""Lunes"",""0:02:00"",""EL VERGEL E13"",""URBANA"",""VIAS PUBLICAS"",""ARMA BLANCA / CORTOPUNZANTE"",""A PIE"",""A PIE"",28,""MASCULINO"",""SOLTERO"",""COLOMBIA"",""EMPLEADO PARTICULAR"",""-"",""PRIMARIA"",76001000,1"
"17/01/2017,""VALLE"",""CALI (CT)"",""Martes"",""20:50:00"",""LOS GUADUALES E6"",""URBANA"",""VIAS PUBLICAS"",""ARMA DE FUEGO"",""BICICLETA"",""A PIE"",34,""MASCULINO"",""SOLTERO"",""COLOMBIA"",""EMPLEADO PARTICULAR"",""-"",""SECUNDARIA"",76001000,1"
"17/01/2017,""VALLE"",""CALI (CT)"",""Martes"",""21:10:00"",""BRISAS DE MAYO E20"",""URBANA"",""FRENTE A RESIDENCIAS - VIA PUBLICA"",""ARMA DE FUEGO"",""A PIE"",""A PIE"",18,""MASCULINO"",""SOLTERO"",""COLOMBIA"",""DESEMPLEADO"",""-"",""PRIMARIA"",76001000,1"
"17/01/2017,""VALLE"",""CALI (CT)"",""Martes"",""21:10:00"",""BRISAS DE MAYO E20"",""URBANA"",""FRENTE A RESIDENCIAS - VIA PUBLICA"",""ARMA DE FUEGO"",""A PIE"",""A PIE"",22,""MASCULINO"",""SOLTERO"",""COLOMBIA"",""EMPLEADO PARTICULAR"",""-"",""PRIMARIA"",76001000,1"
"19/01/2017,""VALLE"",""CALI (CT)"",""Jueves"",""21:15:00"",""VALLE GRANDE E21"",""URBANA"",""PARQUES"",""ARMA DE FUEGO"",""A PIE"",""A PIE"",21,""MASCULINO"",""SOLTERO"",""COLOMBIA"",""EMPLEADO PARTICULAR"",""-"",""SECUNDARIA"",76001000,1"
"19/01/2017,""VALLE"",""CALI (CT)"",""Jueves"",""9:15:00"",""URBANIZACION CALIMIO E6"",""URBANA"",""VIAS PUBLICAS"",""LIQUIDOS"",""A PIE"",""A PIE"",1,""FEMENINO"",""SOLTERO"",""-"",""DESEMPLEADO"",""-"",""ANALFABETA"",76001000,1"
